N,T,system,initial_helliger_fidelity,initial_TV,zne_hellinger_fidelity,zne_hel_degree,zne_hel_number_of_points,zne_TV,zne_TV_degree,zne_TV_number_of_points,ffzne_hellinger_fidelity,ffzne_TV,rbzne_hellinger_fidelity,rbzne_hel_number_of_points,rbzne_TV,rbzne_TV_number_of_points
4,1,ibm_brisbane,0.856218117025694,0.2983997600452123,0.853143750221082,1,2,0.3158368866678726,1,4,0.8531363008527465,0.3108036477777256,0.8517419245940914,3,0.2982721606651762,3
4,2,ibm_brisbane,0.8803363419101281,0.29451807424316856,0.8976416399616977,1,2,0.25966287181875763,1,2,0.8923547788437446,0.27647958237822656,0.8774902730883306,4,0.3017841791866837,2
4,3,ibm_brisbane,0.8450596902627447,0.3100224175737777,0.8581661187825911,1,5,0.2833102136969294,1,5,0.8400478892461528,0.3213391824566037,0.8725408908768241,4,0.26521486749638973,4
5,1,ibm_brisbane,0.7922849913434175,0.38192848541286456,0.7926262293340366,1,4,0.38824921571209536,1,4,0.7826348734201382,0.39883664644542044,0.778607968569225,4,0.4046119965423243,4
5,2,ibm_brisbane,0.880340053622271,0.25737813510653706,0.899840967484214,1,2,0.23297318406304712,1,2,0.8922691024830305,0.2385981804117904,0.8786839449130155,2,0.2520547579717913,2
5,3,ibm_brisbane,0.5858696219266967,0.5452777729222791,0.6188983606289777,1,3,0.5174482305551436,1,3,0.6151264723996954,0.5155019010544166,0.6193430155990374,2,0.5128864320611907,2
6,1,ibm_brisbane,0.7586957924806517,0.4097859393727024,0.7573650285209359,1,5,0.41120992384354044,1,4,0.7397313246456617,0.42787937647526564,0.7405906640073742,2,0.4250612038239566,3
6,2,ibm_brisbane,0.8468206103267022,0.307302949310832,0.8538214670550975,1,2,0.2993628603643978,1,2,0.8538902822023207,0.2956985228651645,0.8516564204684215,4,0.29572840439043324,3
6,3,ibm_brisbane,0.7692739809092269,0.3915183676498862,0.7809818127819361,1,3,0.3738800159163705,1,3,0.7917565923812536,0.36987808828233354,0.797888452182191,2,0.3644633912197249,3
7,1,ibm_brisbane,0.7333029447274615,0.42655238995307837,0.7378461893998752,1,5,0.4211977408662202,1,5,0.7085871666786072,0.44543166084728436,0.711933589371768,4,0.44143902092032067,4
7,2,ibm_brisbane,0.8669556296489541,0.28123623830491606,0.881661510312564,1,2,0.25919934779541853,1,2,0.8817503992945379,0.2610677540424373,0.8788405015197878,2,0.26393908843942726,3
7,3,ibm_brisbane,0.7877133130726951,0.3502230935439886,0.7935045618327031,1,2,0.3414682864190838,1,2,0.7958016997336778,0.3394288075968142,0.7960814342200435,5,0.3393932215323407,5
8,1,ibm_brisbane,0.6916936019027012,0.4576428781479596,0.6949715530722714,1,5,0.45480934062561756,1,5,0.6611371455804498,0.4842492216738277,0.6610427909416458,2,0.4836359266341608,2
8,2,ibm_brisbane,0.8420944197844201,0.32056944923083863,0.8488439624660895,1,2,0.31631276140447634,1,2,0.8506723735663868,0.3101986913827574,0.8506197449907975,2,0.3091821491451369,2
8,3,ibm_brisbane,0.7299991699147009,0.41371080024329754,0.7432089117456164,1,2,0.40131758889904307,1,2,0.749309062858948,0.39299768578868294,0.748590238054005,2,0.3946482895750739,2
9,1,ibm_brisbane,0.6774256867537178,0.4617529234097954,0.6782321967151348,1,5,0.45993374747483096,1,5,0.6567946732731117,0.47819128698301816,0.6578102784839217,4,0.4772798140022284,4
9,2,ibm_brisbane,0.807298006201186,0.33615105455414684,0.8153417419117813,1,2,0.323237588588384,1,2,0.8167024680773489,0.32610171474546074,0.8159895142381861,2,0.3279134795174023,2
9,3,ibm_brisbane,0.7347982480054147,0.40591583622775,0.7396302094203638,1,2,0.4043062042928386,1,3,0.7405353552211298,0.4051981841554101,0.7402396144904544,2,0.40323424237641026,5
10,1,ibm_brisbane,0.6270219683131014,0.5001381268589093,0.6296917526306586,1,5,0.4965143367895278,1,5,0.6061481072285284,0.5219268810963825,0.6066275952638582,5,0.5213956653305464,5
10,2,ibm_brisbane,0.7609976199628813,0.36572207736394363,0.7625865892174033,1,2,0.3602073225612355,1,2,0.7621947856255029,0.36206165318219435,0.7626442180618747,5,0.361902150053535,4
10,3,ibm_brisbane,0.695348936686224,0.4372612314547783,0.7052224239638512,1,2,0.42738666389344004,1,2,0.7145368536284494,0.4159248597091223,0.7146545177351056,3,0.4159762346983617,2
4,1,ibm_kyoto,0.8606545660193196,0.2981879783521267,0.8782124592831473,1,2,0.2569840063561207,1,2,0.8564730519191586,0.309034129059201,0.8329531581678298,4,0.34592684352480857,2
4,2,ibm_kyoto,0.8800096217978358,0.272585668471412,0.8934045694027848,1,2,0.2505840661193741,1,2,0.8989967808586568,0.2408845874704369,0.8992109928471307,4,0.24129094983534508,4
4,3,ibm_kyoto,0.9183739991877542,0.21968365121008976,0.9173085333409091,1,5,0.21161359729672977,1,5,0.8938854575994725,0.2460216853604385,0.8925155551765472,3,0.24185260121789304,5
5,1,ibm_kyoto,0.8334746763444622,0.3082521163636425,0.8569979711349746,1,2,0.269268924657195,1,2,0.8442509201828977,0.30394601368307883,0.8340834692671782,4,0.3203804718069093,4
5,2,ibm_kyoto,0.8208009758351411,0.3159031841779216,0.8324878873025673,1,2,0.299138734518164,1,2,0.8455997799054464,0.2841822224578862,0.849024169517604,4,0.2828537434215738,4
5,3,ibm_kyoto,0.49983185279077147,0.6284432869437477,0.5199489007214274,1,2,0.6126603457867933,1,2,0.5453351599544919,0.5906445153065831,0.5524442503187023,4,0.5830290154349183,4
6,1,ibm_kyoto,0.649386069497252,0.4809326449237887,0.5621072958590074,1,5,0.5640893299989168,1,5,0.47565335373836665,0.6468123083831171,0.4988865952279612,5,0.6253336593019898,5
6,2,ibm_kyoto,0.7278536471054605,0.42494792539147647,0.6705679353324633,1,3,0.44393581742046867,1,2,0.665597832169845,0.4375877187352274,0.6695431870375717,4,0.43827727231818175,3
6,3,ibm_kyoto,0.6346407058792622,0.497956794316555,0.6379256120640555,1,5,0.5090971028260827,1,5,0.6394226897363418,0.5179736091208144,0.6412385501875373,5,0.5154165550579538,5
